department,arrival_time,number_of_patients,doctor_availability,day_of_week,emergency_status,previous_waiting_time,waiting_time_minutes
Cardiology,07:30,30,3,Sunday,Normal,44.8,92.4
Orthopedics,08:45,17,4,Monday,Normal,78.4,76.1
Surgery,13:00,29,1,Sunday,Normal,52.5,130.8
Surgery,18:15,17,8,Monday,Normal,38.3,34.1
Orthopedics,15:15,17,4,Monday,Normal,31.9,67.2
General,15:30,28,6,Friday,Normal,46.9,76.4
Surgery,13:00,21,3,Friday,Emergency,30.3,44.3
Cardiology,10:00,27,3,Thursday,Normal,47.5,104.8
Cardiology,09:15,29,4,Saturday,Normal,47.7,89.7
Orthopedics,13:00,17,4,Wednesday,Normal,52.3,36.6
Surgery,07:00,21,3,Wednesday,Emergency,25.1,44.8
Cardiology,11:30,18,8,Wednesday,Normal,23.5,38.8
Pediatrics,05:45,22,4,Sunday,Normal,41,60.5
Cardiology,14:45,32,10,Tuesday,Normal,12.3,74.8
General,12:15,22,8,Wednesday,Normal,21.7,30.6
Orthopedics,08:30,36,7,Saturday,Emergency,39.8,81.2
Orthopedics,13:00,17,7,Friday,Normal,47.6,38.6
General,12:45,14,5,Monday,Emergency,22.3,9.5
Cardiology,05:30,25,5,Saturday,Normal,70,91.2
Cardiology,09:45,22,5,Thursday,Normal,55.7,72
Surgery,08:00,23,3,Tuesday,Normal,38.3,86.9
Orthopedics,15:30,27,2,Sunday,Emergency,29.8,77.2
General,14:45,19,4,Monday,Normal,49,101.6
Orthopedics,12:45,30,8,Sunday,Normal,31.8,54.4
Orthopedics,13:00,17,2,Tuesday,Emergency,30.7,30.2
Orthopedics,17:45,19,6,Thursday,Normal,42.7,66.2
Cardiology,18:00,20,3,Wednesday,Normal,33.4,52.4
Cardiology,09:30,22,6,Tuesday,Normal,41.1,62.7
Orthopedics,13:30,25,4,Tuesday,Normal,65.1,75
Cardiology,12:00,36,6,Sunday,Normal,31.4,81.9
Pediatrics,15:30,23,3,Monday,Normal,51.5,88.8
Orthopedics,10:45,12,8,Friday,Normal,72.8,35.8
Pediatrics,11:15,21,11,Thursday,Normal,19.7,34
